seoulDate,seoulConfirmed,allDate,allConfirmed,addConfirmed
2020.05.21.10,756,2020.05.21.00,11122,12
2020.05.20.10,753,2020.05.20.00,11110,32
2020.05.19.10,750,2020.05.19.00,11078,13
2020.05.18.10,736,2020.05.18.00,11065,15
2020.05.17.10,735,2020.05.17.00,11050,19
2020.05.16.10,731,2020.05.16.00,11037,19
2020.05.15.10,725,2020.05.15.00,11018,27
2020.05.14.10,714,2020.05.14.00,10991,29
2020.05.13.10,708,2020.05.13.00,10962,26
2020.05.12.10,703,2020.05.12.00,10936,27
2020.05.11.10,690,2020.05.11.00,10909,35
2020.05.10.10,669,2020.05.10.00,10874,34
2020.05.09.10,658,2020.05.09.00,10840,18
2020.05.08.10,648,2020.05.08.00,10822,12
2020.05.07.10,637,2020.05.07.00,10810,4
2020.05.06.10,637,2020.05.06.00,10806,2
2020.05.05.10,637,2020.05.05.00,10804,3
2020.05.04.10,637,2020.05.04.00,10801,8
2020.05.03.10,637,2020.05.03.00,10793,13
2020.05.02.10,635,2020.05.02.00,10780,6
2020.05.01.10,634,2020.05.01.00,10774,9
2020.04.30.10,633,2020.04.30.00,10765,4
2020.04.29.10,633,2020.04.29.00,10761,9
2020.04.28.10,633,2020.04.28.00,10752,14
2020.04.27.10,629,2020.04.27.00,10738,10
2020.04.26.10,629,2020.04.26.00,10728,10
2020.04.25.10,629,2020.04.25.00,10718,10
2020.04.24.10,628,2020.04.24.00,10708,6
2020.04.23.10,628,2020.04.23.00,10702,8
2020.04.22.10,628,2020.04.22.00,10694,11
2020.04.21.10,626,2020.04.21.00,10683,0
2020.04.20.10,624,2020.04.20.00,10674,0
2020.04.19.10,624,2020.04.19.00,10661,0
2020.04.18.10,623,2020.04.18.00,10653,0
2020.04.17.10,621,2020.04.17.00,10635,0
2020.04.16.10,619,2020.04.16.00,10613,0
2020.04.15.10,619,2020.04.15.00,10591,0
2020.04.14.10,613,2020.04.14.00,10564,0
2020.04.13.10,610,2020.04.13.00,10537,0
2020.04.12.10,602,2020.04.12.00,10512,0
2020.04.11.10,600,2020.04.11.00,10480,0
2020.04.10.10,597,2020.04.10.00,10450,0
2020.04.09.10,592,2020.04.09.00,10423,0
2020.04.08.10,581,2020.04.08.00,10384,0
2020.04.07.10,571,2020.04.07.00,10331,0
2020.04.06.10,563,2020.04.06.00,10284,0
2020.04.05.10,558,2020.04.05.00,10237,0
2020.04.04.10,533,2020.04.04.00,10156,0
2020.04.03.10,513,2020.04.03.00,10062,0
2020.04.02.10,494,2020.04.02.00,9976,0
2020.04.01.10,478,2020.04.01.00,9887,0
2020.03.31.10,454,2020.03.31.00,9786,0
2020.03.30.10,434,2020.03.30.00,9661,0
2020.03.29.10,413,2020.03.29.00,9583,0
2020.03.28.10,391,2020.03.28.00,9478,0
2020.03.27.00,376,2020.03.27.00,9332,0
2020.03.26.00,361,2020.03.26.00,9241,0
2020.03.25.00,347,2020.03.25.00,9137,0
2020.03.24.00,334,2020.03.24.00,9037,0
2020.03.23.00,330,2020.03.23.00,8961,0
2020.03.22.00,324,2020.03.22.00,8897,0
2020.03.21.00,314,2020.03.21.00,8799,0
2020.03.20.00,299,2020.03.20.00,8652,0
2020.03.19.00,282,2020.03.19.00,8565,0
2020.03.18.00,270,2020.03.18.00,8413,0
2020.03.17.10,267,2020.03.17.00,8320,0
2020.03.16.10,254,2020.03.16.00,8236,0
2020.03.15.10,248,2020.03.15.00,8162,0
2020.03.14.10,240,2020.03.14.00,8086,0
2020.03.13.10,231,2020.03.13.00,7979,0
2020.03.12.10,219,2020.03.12.00,7869,0
2020.03.11.10,205,2020.03.11.00,7755,0
2020.03.10.10,156,2020.03.10.00,7513,0
2020.03.09.10,130,2020.03.09.00,7382,0
2020.03.08.10,120,2020.03.08.00,7134,0
2020.03.07.10,114,2020.03.07.00,6767,0
2020.03.06.10,106,2020.03.06.00,6284,0
2020.03.05.10,105,2020.03.05.00,5766,0
2020.03.04.10,99,2020.03.04.00,5328,0
2020.03.03.10,98,2020.03.03.00,4812,0
2020.03.02.10,92,2020.03.02.10,4212,0
2020.03.01.10,86,2020.03.01.16,3736,0
2020.02.29.10,77,2020.02.29.16,3150,0
2020.02.28.10,65,2020.02.28.16,2337,0
2020.02.27.10,59,2020.02.27.16,1766,0
2020.02.26.16,49,2020.02.26.16,1261,0
2020.02.25.18,44,2020.02.25.18,1146,0
2020.02.24.18,31,2020.02.24.18,833,0
2020.02.23.16,25,2020.02.23.16,602,0
2020.02.22.18,24,2020.02.22.18,433,0
2020.02.21.16,18,2020.02.21.16,204,0
2020.02.20.18,15,2020.02.20.18,104,0
2020.02.19.18,13,2020.02.19.18,82,0
2020.02.18.18,12,2020.02.18.18,31,0
2020.02.17.18,12,2020.02.17.18,30,0
2020.02.16.18,11,2020.02.16.18,29,0
2020.02.15.18,10,2020.02.15.18,28,0
2020.02.14.18,10,2020.02.14.18,28,0
2020.02.13.18,10,2020.02.13.18,28,0
2020.02.12.18,10,2020.02.12.18,28,0
2020.02.11.18,10,2020.02.11.18,28,0
2020.02.10.18,10,2020.02.10.18,27,0
2020.02.09.18,10,2020.02.09.18,27,0
2020.02.08.18,10,2020.02.08.18,24,0
2020.02.07.18,10,2020.02.07.18,24,0
2020.02.06.09,11,2020.02.06.09,24,0
2020.02.05.15,8,2020.02.05.15,18,0
